Politikbereich,Zweck
Sport,kosten beschäftigung hauptberuflich trainer schwerpunkt kind jugendsport
Sport,kosten beschäftigung übungsleitern
Sport,vereinsentwicklungsprogramm
Sport,fördervereinbarung förderung jugendwettkampfsports
Sport,masterplan integration sicherheit sport
Stadtentwicklung,trainingscamp herbstferien
Sport,schaffung gut trainingsbedingungen jugendarbeit fc lübars bvv sondermittel
Bildung,profivereine kita bewegungs sportförderung kita
Bildung,profivereine schule bewegungs sportförderung grundschulen
Sport,kosten beschäftigung hauptberuflich verwaltungskräften sportverbänden vereinen
Sport,kosten beschäftigung hauptberuflich trainerinnen trainer schwerpunkt kind jugendsport
Sport,teilhabeprogramm inklusionsbogensport
Sport,fördervereinbarung leistungssportförderung
"Bürgerschaftliches Engagement, Bürgerbeteiligung",neuanlage steingarten neubepflanzung hecke
Sport,sondermittelantrag nummer
Sport,sport park
Stadtentwicklung,samstagsveranstaltung
Sport,masterplan sportangebote geflüchtete mensch
Sport,durchführung projektes sport park
Integration,sport integration flüchtlingssport leichtathletik
Sport,masterplan integration flüchtlingssport leichtathletik
Sport,parksport laufen marzahn
Sport,kosten beschäftigung hauptberuflich verwaltungskräften sportverbänden vereinen projekt
Wirtschaft,digitalprämie berlin
Wirtschaft,unterstützung aufbauphase existenzgründungen startups
Arbeit,lohnkostenzuschuss prozent ug haftungsbeschränkt
Wirtschaft,realisierungsberatung
Wirtschaft,automatisiert flächenrückführung vernetzung anatomisch struktur
"Kirchen, Religions-, Weltanschauungsgemeinschaften",interreligiöse werkstatt
"Kirchen, Religions-, Weltanschauungsgemeinschaften",buchprojekt
Wirtschaft,entwicklung vermarktung anwendung bereich data mining for people analytics
Wirtschaft,forschungsarbeiten bereich data mining for peopleanalytics
Wirtschaft,km film diskussionsreihe
Wirtschaft,außerschulische bildung projekt km de kolonial
Bildung,jugendforschungsschiff
Wirtschaft,plug hybrid
Wirtschaft,traffic optimizer innovative entwicklungsprogrammierung it software unternehmen netzwerke online marketing
Wirtschaft,entwicklung it software clickshield basieren cloudtechnologien ziel hoch kosteneinsparungen unternehmen online marketing
Arbeit,landeszuschuss kmu lohnkostenzuschuss wheelsu gmbh
Wirtschaft,erforschung implementierung emotionstragender linguistischer struktur produktbeschreibungen
Wirtschaft,erforschung implementierung key facts produktbeschreibungen
Wirtschaft,entwicklung technologisch infrastruktur innovative textgenerierung datum business intelligence
Wirtschaft,erforschung algorithmen analyse finanzmarktdaten textgenerierung btxt
Arbeit,lohnkostenzuschuss wheelsu gmbh
Stadtentwicklung,nachbarschaftswerkstatt
"Kirchen, Religions-, Weltanschauungsgemeinschaften",durchführung deutsche evangelische kirchentages berlin
"Kirchen, Religions-, Weltanschauungsgemeinschaften",durchführung evangelische kirchentages berlin
"Kirchen, Religions-, Weltanschauungsgemeinschaften",mitfinanzierung regionale kulturprogrammes landeskirche rahmen deutsche evangelische kirchentages berlin programmkosten juriert programm
Wirtschaft,plug hybrid
Wirtschaft,erweiterung betriebsstätte
Kultur,open house atelierhaus flutgraben november
Kultur,veranstaltungsreihe projekt
Wirtschaft,coaching
Wirtschaft,messe integrated system europe amsterdam nl
Wirtschaft,messeteilnahme integrated system europe amsterdam nl
Wirtschaft,eurocis düsseldorf
Wirtschaft,integrated system amsterdam
Wirtschaft,integrated system europe amsterdam
Wirtschaft,integrated system europe barcelona
Wirtschaft,natürliche sprachdialog steuerung orientierungs wegeleitsysteme
Wirtschaft,integrated system europe amsterdam
Wirtschaft,technologie wissenstransfer
Wirtschaft,coaching
Wirtschaft,coaching
Wirtschaft,coaching
Arbeit,lohnkostenzuschuss pc gmbh kommunikation
Kultur,plattform vernetzung solidarität geschlossen kultureinrchtungen
Wirtschaft,produktdesigner implementierung umsetzung kontinuierlich entwicklungsprozesses digitale produkt
Wirtschaft,erweitert produkt wachstumsstrategie bereich content management system entwickeln technologie fokus geschäftsprozesse modelle
Wirtschaft,erweitert produkt wachstumsstrategie bereich künstliche intelligenz entwickeln technologie fokus softwareentwicklung beratung
Wirtschaft,aufbau ablauforganisatorische umsetzung controllingsystems
Wirtschaft,entwicklung einführung produktbezogenen kommunikations marketingstrategie bb bereich
Wirtschaft,smart d printing
Wirtschaft,smart d printing
Wirtschaft,entwicklung druckbarkeitsanalyse plugins white label feature markteinführung
Wirtschaft,erforschung automatisch d druckbarkeitsanalyse mehrfarbige d modell
Wirtschaft,machbarkeitsuntersuchungen sicht architekturmodellbaus d druckverfahren
Kultur,atonal
Kultur,atonal
Kultur,berlin atonal
Kultur,projekt atonal
Kultur,berlin atonal
Kultur,berlin atonal
Wirtschaft,gccm europe london
Wirtschaft,itw chicago usa
Wirtschaft,gccm europe london
Wirtschaft,international telecoms week euromoney institutional investor plc london
Wirtschaft,gccm london
Wirtschaft,teilnahme gccm europe /london
Wirtschaft,global carrier community meeting gccm berlin
Wirtschaft,bigdata logistik multiskale kombinatorische optimierungsmethoden logiscale
Wirtschaft,aufbau prozessorganisatorische umsetzung leitwarte rahmen technisch betriebsführung windenergieanlagen
Wirtschaft,entwicklung interdisziplinär windenergie datenbanksystems verknüpfung intelligent auswertung unternehmensinterner frei zugänglich datum unterschiedlich quelle unterschiedlich datentyps
Wirtschaft,potenzialberatung
Wirtschaft,entwicklung automatisieren scoutingprozess trend identifizieren bestehend trend monitoren
Wirtschaft,einführung zertifizierten verfahren itil information technology infrastructure library
Wirtschaft,ux ui design serviceplattform yourfinance
Wirtschaft,user interface design corporate design markenstrategie
Wirtschaft,multi sensorsystem akustik ki
Wirtschaft,moke lese magnettonspuren hilfe magneto optisch kerr effekt
Wirtschaft,entwicklung digital workshop konzept enduser bereich produktion inkl. zugehörig mobil applikation
Wirtschaft,wvsc ea elektrische antriebstechnik
Wirtschaft,machine learning basiert prognose verkauf
Wirtschaft,machine learning basieren vorhersage preiselastizitäten
Wirtschaft,weiterentwicklung meditationstrainings app
Kultur,konzertreihe salon oblique
Kultur,inside joy
Kultur,technisches equipment
Kultur,synästhesie iv
Wirtschaft,produktdesign robust smartphonebasiertes auswertegerät schnelltestsysteme
Wirtschaft,wissenschaftlich untersuchung konstruktion spezifisch analysegerätes auswertung lateral flow assays schnelltestsysteme
Wirtschaft,layerjs editor ui konzept
Wirtschaft,skalierbarer data stack kmu
Wirtschaft,automatisierung erweiterung innenausstattungsplattform chairs automated chairs
Wirtschaft,automatisierung erweiterung innenausstattungsplattform chairs automated chairs
Arbeit,lohnkostenzuschuss designs gmbh
Integration,join berufsbezogene deutsch förderung geflüchteter
Arbeit,ausbildung sicht deutsch berufsorientierung junge migrantinnen
Arbeit,ausbildung sicht deutsch berufsorientierung junge neu berlinerinnen
Arbeit,fav integrationslotsen unterstützung integrationsaktivitäten
Arbeit,fav kunst kultur media naturaktivitäten kind
Arbeit,fav projekthelfer zusätzlich angebot bezirklichen projektarbeit
Arbeit,fav projekthelfer biologie station dathe oberschule
Arbeit,gästeführer stadtführer
Arbeit,integrationslotsinnen migrantinnen neu zugewandert geflüchtete mensch
Arbeit,online marketing social media integriert deutsch förderung
Arbeit,online marketing social media integriert deutsch förderung
Arbeit,schneider mode design integriert deutsch förderung
Arbeit,veranstaltungsmanagement integriert deutsch förderung
Arbeit,vorbereitung erzieherberufe integriert deutsch förderung
Arbeit,erziehung soziales integriert deutsch förderung
Arbeit,event management integriert deutsch förderung
Arbeit,integrationslotsen unterstützung integrationsaktivitäten
Arbeit,join berufsbezogene deutsch förderung geflüchteter
Arbeit,kunst kultur medium naturaktivitäten kind
Arbeit,online marketing social media integriert sprachförderung
Arbeit,projekthelfer zusätzlich angebot bezirklichen projektarbeit
Arbeit,projekthelfer biologie station dathe oberschule
Arbeit,schneider modedesign integriert sprachförderung
Arbeit,tourismus gaststättengewerbe integriert deutsch förderung
Kultur,dancing b l ack dada
Umwelt,nachhaltig gesund interkulturelles wasserprojekt donaukiez
Wirtschaft,innovative babysauger lucky lulli entwickeln marktreife bringen optimierung form materialtests produktionsverfahren k spritzguss prüfen
Arbeit,besondere zielgruppen insbesondere junge flüchtling deutsch berufsorientierung
Arbeit,deutsch berufsorientierung junge geflüchteter
Arbeit,deutsch berufsorientierung junge migrantinnen
Arbeit,erziehung soziales + deutsch
Arbeit,event kulturmanagement + deutsch
Arbeit,gastgewerbe tourismus + deutsch
Arbeit,heilberufe pflege + deutsch
Arbeit,online marketing social media + deutsch
Arbeit,besondere zielgruppen insbesondere junge flüchtling deutsch berufsorientierung junge geflüchteter
Arbeit,sprache orientierung ausbildung deutsch berufsorientierung junge migrant*innen
Arbeit,sprache orientierung ausbildungsreife deutsch berufsorientierung junge migrantinnen
Arbeit,kunst kultur media naturaktivitäten kind
Arbeit,erziehung pflege soziales + deutsch
Arbeit,ausbildungsreife schulabschluss erweitert berufsbildungsreife
Arbeit,sprache orientierung ausbildungsreife deutsch berufsorientierung junge migrant*innen
Wirtschaft,entwicklung verfahren herstellung eisenhaltiger proteinpartikel hanfprotein
Arbeit,landeszuschuss kmu lohnkostenzuschuss a.a.a. thilos gmbh
Arbeit,lohnkostenzuschuss a.f.a.s. security service gmbh
Wirtschaft,entwicklung neu systemanwendungen elektrotechnisch gebäudebeheizung berücksichtigung verändern strommixes grün bzw. konventionell grau energie
Wirtschaft,absichtserkennung sprachtrendanalyse generierung formulierungsvarianten
Wirtschaft,entwicklung innovativ cloud basieren middleware sprachautomatisierung
Wirtschaft,aufbau innovativ vertriebsplattform rahmen skalierungsinitiative
Wirtschaft,entwicklung reinforcement learning system effizient nutzung produktivdaten
Wirtschaft,sprachmodelle self service tool
Wirtschaft,einführung komposit dialogentwicklung
Wirtschaft,übertragung künstlich intelligenz sprache
Wirtschaft,evaluierung markteintritts frankreich
Wirtschaft,gestaltung einführung partizipativen zielsetzungsmechanismus
Wirtschaft,aaron automatisiert kundeninteraktion
Wirtschaft,aaron matchmaking tool v
Kultur,world at noon
Kultur,world od noon
Kultur,basisförderung bildende kunst
Wirtschaft,kontinuierlich dokumentation zertifizierung software medizinprodukt sicherstellung konformität regulatorischen anforderung digital gesundheitsanwendung diga
Arbeit,girlsatec mädchen erobern technische beruf
Arbeit,girlsatec mädchen erobern technische beruf
Arbeit,zusatzqualifikationen digitale kompetenz weiterbildung
Arbeit,girlsatec junge frau erobern technische beruf
Arbeit,girlsatec mädchen erobern technische beruf
Arbeit,teste technik schraube beruflich zukunft
Arbeit,transferstelle zusatzqualifikation digitale kompetenz auszubildende ausbildungspersonal
Wirtschaft,ausbau abb weiterbildungszentrums berlin haus lessingstraße berlin abb ausbildungszentrum berlin ggmbh
Wirtschaft,ergänzende ausstattung abb weiterbildungszentrums berlin abb ausbildungszentrum berlin ggmbh lessingstraße berlin
Wirtschaft,ergänzende ausstattung weiterbildungszentrums berlin abb ausbildungszentrum berlin ggmbh lessingstraße berlin
Arbeit,deutsch beruf basisqualifikation pflege
Arbeit,nachträglicher erwerb mittlere schulabschlusses
Arbeit,nachträglicher erwerb mittlere schulabschlusses junge mutter
Arbeit,qualifizierung beschäftigung deutsch beruf basisqualifizierung
Arbeit,qualifizierung beschäftigung nachträglicher erwerb msa
Arbeit,qualifizierung beschäftigung nachträglicher erwerb msa junge mutter
Arbeit,qualifizierung beschäftigung nachträglicher erwerb msa erhöht betreuungsbedarf
Arbeit,vorbereitung ausbildung sozialassistent sozialassistentin
Arbeit,nachträglicher erwerb mittlere schulabschlusses junge mutter vater
Arbeit,nachträglicher erwerb msa
Arbeit,vorbereitung ausbildung sozialassistenten sozialassistentin
Arbeit,nachträglicher erwerb msa schwerpunkt überwindung prüfungsangst
Arbeit,nachträglicher erwerb msa naturwissenschaftlicher ausrichtung
Arbeit,nachträglicher erwerb mittlere schulabschlusses junge geflüchteter
Arbeit,nachträglicher erwerb mittlere schulabschlusses junge mensch migrationshintergrund
Arbeit,nachträglicher erwerb mittlere schulabschlusses junge mutter alleinerziehende
Arbeit,nachträglicher erwerb mittlere schulabschlusses naturwissenschaftlicher ausrichtung
Arbeit,nachträglicher erwerb msa geflüchteter
Arbeit,basisqualifizierung pflegemit schwerpunkt arbeit demenzkranken
Jugend,treffpunkt beratungs dokumentationsstelle mensch heimerfahrung
Wirtschaft,untersuchung eignung ultraschall zerstäubung infrarot trocknung trocknen lösung befindliche mikroorganismen
Wirtschaft,organisation durchführung veranstaltung loop
Antidiskriminierung,abqueer
Antidiskriminierung,aufklärungs bildungsarbeit lsbtiq lebensweisen
Integration,sprachcafé
Wirtschaft,technologietransfer effektiv regenerierung schaltschiebern
Wirtschaft,keramisierung zylinderbohrungen schaltschieber hydraulisch steuersystem verschlissen automatikgetrieben
Arbeit,absent friends eingetragen verein
Wirtschaft,implementierung template system stellenanzeigen abwicklung kernproduktes stellenanzeige entscheiden vereinfachen
Soziales,sondermittel bvv weihnachtsfeier ser bezirksgruppe spandau
Arbeit,betreuungsassistent abt kurs bea
Arbeit,fachkraft sicherheitsdienstleistungen abt kurs sfk
Arbeit,fachkraft sicherheitsdienstleistungen abt kurs sfk
Arbeit,fachkraft sicherheitsdienstleistungen abt kurs sfk
Arbeit,pflege betreuungsassistent abt kurs akp
Arbeit,qualifizierung beschäftigung fachkraft sicherheitsdienstleistungen abt kurs sfk
Arbeit,sozialassistent familie schwerpunkt kinderbetreuung pflegen abt kurs kib
Arbeit,sozialassistent familie schwerpunkt kinderbetreuung pflegen abt kurs kib
Arbeit,assistent kinderbetreuung pflegen abt kurs kib
Arbeit,assistent kinderbetreuung pflegen kib
Arbeit,betreuungsassistent abt kurs bea
Arbeit,betreuungsassistent bea
Arbeit,fachkraft sicherheitsdienstleistungen abt kurs sfk
Arbeit,fachkraft sicherheitsdienstleistungen abt kurs sfk
Arbeit,fachkraft sicherheitsdienstleistungen abt kurs sfk
Arbeit,fachkraft sicherheitsdienstleistungen abt kurs sfk
Arbeit,pflege betreuungsassistent abt kurs akp bea
Arbeit,pflege betreuungsassistent abt kurs akp
Arbeit,assistent kinderbetreuung pflegen abt kurs kib
Arbeit,assistent kinderbetreuung pflegen abt kurs kib
Arbeit,assistent kinderbetreuung pflegen abt kurs kib
Arbeit,fachkraft sicherheitsdienstleistungen abt kurs sfk
Arbeit,fachkraft sicherheitsdienstleistungen abt kurs sfk
Arbeit,fachkraft sicherheitsdienstleistungen abt kurs sfk
Arbeit,fachkraft sicherheitsdienstleistungen abt kurs sfk
Arbeit,pflege betreuungsassistent abt kurs akp bea
Arbeit,pflege betreuungsassistent abt kurs akp bea
Arbeit,assistent kinderbetreuung pflegen abt kurs kib
Arbeit,assistent kinderbetreuung pflegen erzieherhelfer abt kurs kib
Arbeit,assistent kinderbetreuung pflegen erzieherhelfer abt kurs kib
Arbeit,assistent kinderbetreuung pflegen erzieherhelfer abt kurs kib
Arbeit,fachkraft wach sicherheitsdienste abt kurs sfk
Arbeit,fachkraft wach sicherheitsdienste abt kurs sfk
Arbeit,fachkraft wach sicherheitsdienste abt kurs sfk
Arbeit,fachkraft wach sicherheitsdienste sfk
Arbeit,pflege betreuungsassistent abt kurs akp bea
Arbeit,assistent kinderbetreuung pflegen erzieherhelfer abt kurs kib
Arbeit,assistent kinderbetreuung pflegen erzieherhelfer abt kurs kib
Arbeit,assistent pflege betreuung alltagsbegleitung abt kurs pba bea
Arbeit,fachkraft wach sicherheitsdienste abt kurs sfk
Arbeit,fachkraft wach sicherheitsdienste abt kurs sfk
Arbeit,fachkraft wach sicherheitsdienste abt kurs sfk
Arbeit,fachkraft wach sicherheitsdienste abt kurs sfk
Bildung,erfüllung einrichtung beantragen anschubfinanzierung f. gründung bezirkl alphabündnisses berlin marzahn hellersdorf
Arbeit,ausbildung jung erwachsener nachqualifizierung
Arbeit,bapp verbund
Arbeit,bapp verbund
Arbeit,berliner jobcoaching berliner jobcoaching
Arbeit,berliner jobcoaching
Arbeit,bvbo rudolf virchow schule klasse m
Arbeit,bvbo friedrich
Arbeit,bvbo friedrich
Arbeit,bvbo friedrich
Arbeit,bvbo hecker
Arbeit,bvbo hecker
Arbeit,bvbo hecker
Arbeit,bvbo kerschensteiner
Arbeit,bvbo mozart
Arbeit,bvbo mozart
Arbeit,bvbo sartre
Arbeit,bvbo virchow
Arbeit,bvbo virchow
Arbeit,bvbo virchow
Arbeit,bvbo wachsmann
Arbeit,bvbo wachsmann
Arbeit,bvbo caspar david friedrich schule klasse m
Arbeit,bvbo caspar david friedrich schule klasse m
Arbeit,bvbo caspar david friedrich schule klasse m
Arbeit,bvbo kerschensteiner schule klasse m
Arbeit,bvbo konrad wachsmann schule klasse
Arbeit,bvbo konrad wachsmann schule klasse
Arbeit,bvbo konrad wachsmann schule klasse
Arbeit,bvbo rudolf virchow schule klasse m
Arbeit,bvbo rudolf virchow schule klasse m
Arbeit,bvbo rudolf virchow schule klasse m
Arbeit,bvbo wolfgang a. mozart schule klasse m
Arbeit,bvbo wolfgang a. mozart schule klasse
Arbeit,bvbo hecker
Arbeit,bvbo mozart
Arbeit,bvbo kerschensteiner
Arbeit,kerschensteiner bvbo
Arbeit,l bapp verbund
Arbeit,l bapp verbund
Bildung,praxislerngruppen
Integration,fahrradkurs geflüchtete frau zwecks förderung selbständigkeit stärkung selbstbewustseiens
Gleichstellung,frauenladen projekt
Gleichstellung,frauenladen projekt
Gleichstellung,frauenladen projekt
Integration,förderung arbeitsmarktintegration zugewandert mensch
Jugend,körper seele
Soziales,interkulturelle öffnung
Soziales,sozial integration vietnamesinnen treptow köpenick
Soziales,spätaussiedlerberatung migranten seniorenarbeit
Integration,föderung arbeitsmarktintegration zugewandert mensch
Frauen,frauenladen kurs prüfung juni
Frauen,frauenladen
Frauen,frauenladen
Jugend,berufliche qualifizierung
Jugend,mietkostenzuschuss nachschlag
Jugend,nachschlag berufliche qualifizierung sozial benachteiligt jugendlicher
Bildung,erfüllung einrichtung beantragen anschubfinanzierung f. gründung bezirkl alphabündnisses berlin charottenburg wilmersdorf
Familie,flat family stadtteilmütter
Gleichstellung,frau bqb land zusätzliche landesmittel
Gleichstellung,frau existenzgründungskurse goldrausch künstlerinnenprojekt
Gleichstellung,frau ouq frauenladen kurs prüfung juni
Gleichstellung,frau ouq frauenladen kurs prüfung november
Gleichstellung,frau ouq frauenladen kurs prüfung juni
Gleichstellung,frauenladen kurs prüfung juni
Gleichstellung,frauenladen projekt
Gleichstellung,frauenladen projekt
Gleichstellung,frauenladen
Gleichstellung,frauenladen projekt
Gleichstellung,frauenladen_finanzierung kosten unterrichtsfreier
Verkehr,beschaffung e lastenrad
Arbeit,landeszuschuss kmu lohnkostenzuschuss acar batur lebensmittel ohg
Forschung,institutionelle förderung rahmen gemeinschaftsfinanzierung
Wirtschaft,konzeptionierung umsetzung auktionsmechanismus reportingsystems risiko compliance monitoring
Wirtschaft,konzeptionierung umsetzung dokumentation pricing mechanismus
Wirtschaft,analyse entwicklung erprobung blockchain technologie
Wirtschaft,entwicklung debt capital markets dcm plattform
Wirtschaft,entwicklungsunterstützung debt capital markets dcm plattform
Wirtschaft,planung entwicklung preismodells spezifisch kmu mittelständig unternehmen kredit
Arbeit,landeszuschuss kmu lohnkostenzuschuss accelero bioanalytics gmbh
Arbeit,lohnkostenzuschuss accelero bioanalytics gmbh
Wirtschaft,internationale tour handmade germany new york
Verkehr,mobileo
Verkehr,abgefahren
Verkehr,mobililli umwelttiger
Verkehr,mobilili umwelttiger
Wirtschaft,customer discovery
Kultur,||
Kultur,filmfestival
Kultur,berlin neu n null
Wirtschaft,coaching
Wirtschaft,coaching
Wirtschaft,systematisch untersuchung ordnungsgemäß betrieb pids verschieden umweltbedingungen lokalisation schwachstellen aufbau erarbeitung maßnahme ergänzung substitution relevant komponente
Verbraucherschutz,ackern schaffen integration pilotierung konsolidierung innovativ bildungsprogramms gemüseackerdemie schulde sozial brennpunkt berlin
Wirtschaft,ainn@acs plus kompetenzaufbau bereich künstlich intelligenz neuronale netz einsatz pilotprojekten
Arbeit,act gemeinsam weg
Kultur,stück friede
Kultur,heimat utopia ort
Kultur,durchführung theaterprojektwochen
Kultur,theaterprojektwoche theatrale erkundung sensibilisierung gefühlsthemen
Kultur,theaterprojektwoche
Stadtentwicklung,resonanz
Stadtentwicklung,resonanz qualität gelingend beziehungsgestaltung
Wirtschaft,integration vermarktung industrie standard digitale einzigartigkeit uniqueness ecosystem
Kultur,kunstprojekt dezentrale kulturarbeit h nk
Kultur,kulturförderung
Wirtschaft,teilnahme gamescom köln
Verkehr,öpnv fahrrad auto vs aktionstage bvg betriebshöfen
Verkehr,bike fuß sichern unterwegs
Verkehr,bike fuß sichern unterwegs
Wirtschaft,wachstum schwerpunkt internationalisierung
Wirtschaft,entwicklung implementierung ki basieren system bereich adtech facebook ads
Bildung,pädagogisches trickfilmprojekt grundschüler nachhaltig transportsystem
Umwelt,lastenrad berlin friedrichshagen
Verkehr,adfc sommer herbst checks
Verkehr,adfc frühling herbstchecks
Verkehr,fahrrad sicherheitschecks
Arbeit,qualifizierung theaterpädagog_in interkuktureller kompetenz schwerpunkt internationale beziehung
Arbeit,qualifizierung theaterpädagog_in nterkultureller kompetenz schwerpunkt internationale beziehung
Wirtschaft,signaletik app web applikation planung verwaltung nutzung leit orientierungssystemen krankenhäusern
Wirtschaft,briefing app interaktives planungstool kommunikationsmaßnahmen bereich corporate design informationsdesign signaletik
Wirtschaft,beräumung gewerbefläche flurstück rückbau gebäude
Wirtschaft,beräumung gewerbeflächen teilfläche ehemalig kohlebahnhof
Wirtschaft,beräumung erschließung gewerbegebietes gleislinse berlin schöneweide
Wirtschaft,errichtung kältenah notstromverbundes haus innovations gründerzentrums igz campus berlin buch
Wirtschaft,beräumung gewerbeflächen flurstück
Kultur,bühnenprogramm adlershofer herbstfest
Kultur,kinderfest adlershofer herbstfest
Kultur,unterstützung adlershofer herbstfest
Kultur,herbstfest adlershof bühnenprogramm
Stadtentwicklung,erneuerung gedenktafel zwangsarbeiterlager kga adlergestell
Stadtentwicklung,informationstafel ortschronisten friedhof adlershof
Arbeit,landeszuschuss kmu lohnkostenzuschuss admos gleitlager gmbh
Arbeit,lohnkostenzuschuss admos gleitlager gmbh
Wirtschaft,laserassistierte beschichtungstechnologie nachhaltig gleitlager effizient ersatz schleudergussverfahrens reduktion schwermetallgehalts lagerbronzen
Wirtschaft,evaluierung auswirkung entwicklung datengetriebenen plattform vertrieb desinfektionsmittelspendern bb markt
Wirtschaft,digital marketing exposition conference dmexco köln
Wirtschaft,entwicklung markteinführung algorithmischer hochperformanter lösung amp
Wirtschaft,erforschung algorithmischer hochperformanter lösung amp
Gesundheit,suchthilfeprojekt nokta mensch verrschiedenen kultur
Gesundheit,suchthilfeprojekt nokta mensch verschieden kultur
Wirtschaft,aufbau konfiguration dedizierten crms endkundenkommunikation mittelstandskunden advalyze
Wirtschaft,advanced audience al
Wirtschaft,advanced audience dap
Soziales,suppenküche adventhaus zehlendorf
Soziales,suppenküche adventhaus zehlendorf
Soziales,kältehilfe suppenküche adventhaus zehlendorf november märz
Soziales,kältehilfe suppenküche adventhaus zehlendorf
Sport,kauf segelflugzeuges
Wirtschaft,ax automated news
Bildung,beschaffung lernmittel schüler inenn
Bildung,beschaffung lernmittel
Wirtschaft,kongress dog berlin
Wirtschaft,internationale kongress doc nürnberg
Wirtschaft,aad kongress augenärzte jena
Wirtschaft,doc .internationaler kongress deutsche ophthalmochirurgen nürnberg
Wirtschaft,afrika neues verhältnis westen afrikanisch perspektive
Wirtschaft,angekommen berlin flucht migration afrikanisch perspektive
Wirtschaft,zukunft gestalten afrikanische perspektive entwicklungs bildungspolitisch kontext
Wirtschaft,zahl stärke junge demokratiebewegungen afrika
Wirtschaft,fluchtursachen neu betrachten afrikanisch perspektive flüchtlingsproblem
Jugend,demokratie leben fest kultur
Jugend,demokratie leben flucht vorn
Familie,bundesprogramm demokratie leben fest kultur
Familie,kofi bundesprogramm demokratie leben fest kultur
Integration,migration fokus integrationsfonds
Wirtschaft,afrikavorbilder
Wirtschaft,kenako afrika festival afrika
Wirtschaft,kenako afrika festival konsum verantwortung
Wirtschaft,migration fokus veranstaltungsreihe ausstellung
Wirtschaft,kenako afrika festival afrika global kontext
Wirtschaft,kenako afrika festival errungenschaft afrika
Wirtschaft,sdgs wanderausstellung aktionsreihe sdgs festival
Wirtschaft,kenako afrika festival perspektive ort
Sport,teilhabeprogramm projekt integration migrantinnen migranten berlin sport
Wirtschaft,african perspektiv
Wirtschaft,annäherung dialog
Wirtschaft,friede entwicklung afrika spannungsfeld religion politik
Wirtschaft,kamerun vereint stabil friedlich
Wirtschaft,kamerun weg republik
Wirtschaft,friede entwicklung sahel region
Wirtschaft,burkinafrique afrikanische perspektive friede entwicklung
Bildung,interkulturelles lernen global lernen
Bildung,berliner afro kind jugendliche suche identität berufschancen
Bildung,berliner kongokonferenz aufteilung afrika
Kultur,sondermittel bvv
Kultur,heimatgefühle at
Kultur,lumen amen
Integration,medienwerkstatt strukturfestigung
"Bürgerschaftliches Engagement, Bürgerbeteiligung",medienwerkstatt verstetigung
Soziales,integriertes stadtteilverfahren großsiedlung waldsassener straße
Stadtentwicklung,aktionsfonds beteiligung vernetzung
Wirtschaft,skills
