Name,Geber,Art,NJahr,Anschrift,Politikbereich,Zweck,Betrag
agens Arbeitsmarktservice gGmbH,"Senatsverwaltung für Integration, Arbeit und Soziales",Projektförderung,2017,"Tempelhofer Damm 125, 12099 Berlin",Arbeit,Ambrosiajäger,19743
agens Arbeitsmarktservice gGmbH,"Senatsverwaltung für Integration, Arbeit und Soziales",Projektförderung,2017,"Tempelhofer Damm 125, 12099 Berlin",Arbeit,Anleiter soziales Schreibbüro,20339
agens Arbeitsmarktservice gGmbH,"Senatsverwaltung für Integration, Arbeit und Soziales",Projektförderung,2017,"Tempelhofer Damm 125, 12099 Berlin",Arbeit,Berliner Jobcoaching für geflüchtete Menschen in Beschäftigungsmaßnahmen,24721
agens Arbeitsmarktservice gGmbH,"Senatsverwaltung für Integration, Arbeit und Soziales",Projektförderung,2017,"Tempelhofer Damm 125, 12099 Berlin",Arbeit,Berliner Jobcoaching für geflüchtete Menschen in Beschäftigungsmaßnahmen (BJC FiB),110404
agens Arbeitsmarktservice gGmbH,"Senatsverwaltung für Integration, Arbeit und Soziales",Projektförderung,2017,"Tempelhofer Damm 125, 12099 Berlin",Arbeit,"Datenerhebungen zum Thema Gesundheit, Kultur und Sport",20250
agens Arbeitsmarktservice gGmbH,"Senatsverwaltung für Integration, Arbeit und Soziales",Projektförderung,2017,"Tempelhofer Damm 125, 12099 Berlin",Arbeit,Digitalisierung von Fotonachlassen,13328
agens Arbeitsmarktservice gGmbH,"Senatsverwaltung für Integration, Arbeit und Soziales",Projektförderung,2017,"Tempelhofer Damm 125, 12099 Berlin",Arbeit,EGZ Projektassistenz,13503
agens Arbeitsmarktservice gGmbH,"Senatsverwaltung für Integration, Arbeit und Soziales",Projektförderung,2017,"Tempelhofer Damm 125, 12099 Berlin",Arbeit,Erweiterung des Angebots der Jugendverkehrsschulen in Charlottenburg-Wilmersdorf,12943
agens Arbeitsmarktservice gGmbH,"Senatsverwaltung für Integration, Arbeit und Soziales",Projektförderung,2017,"Tempelhofer Damm 125, 12099 Berlin",Arbeit,Freizeit- und Veranstaltungsunterstützer Reinickendorf,2498
agens Arbeitsmarktservice gGmbH,"Senatsverwaltung für Integration, Arbeit und Soziales",Projektförderung,2017,"Tempelhofer Damm 125, 12099 Berlin",Arbeit,Freizeitangebote und Seniorenbesuchsdienst,22010
agens Arbeitsmarktservice gGmbH,"Senatsverwaltung für Integration, Arbeit und Soziales",Projektförderung,2017,"Tempelhofer Damm 125, 12099 Berlin",Arbeit,Gepflegte Friedhofsanlagen,109010
agens Arbeitsmarktservice gGmbH,"Senatsverwaltung für Integration, Arbeit und Soziales",Projektförderung,2017,"Tempelhofer Damm 125, 12099 Berlin",Arbeit,Geprüfte Betreuungsfachkraft gemäß Richtlinien nach § 53c (§ 87b a.F.) SGB XI,8732
agens Arbeitsmarktservice gGmbH,"Senatsverwaltung für Integration, Arbeit und Soziales",Projektförderung,2017,"Tempelhofer Damm 125, 12099 Berlin",Arbeit,Grüne Hauptwege in Friedrichshain-Kreuzberg barrierefrei,1275
agens Arbeitsmarktservice gGmbH,"Senatsverwaltung für Integration, Arbeit und Soziales",Projektförderung,2017,"Tempelhofer Damm 125, 12099 Berlin",Arbeit,Grüne Hauptwege in Mitte - barrierefrei,13392
agens Arbeitsmarktservice gGmbH,"Senatsverwaltung für Integration, Arbeit und Soziales",Projektförderung,2017,"Tempelhofer Damm 125, 12099 Berlin",Arbeit,Grüne Hauptwege in Spandau barrierefrei (2),5281
agens Arbeitsmarktservice gGmbH,"Senatsverwaltung für Integration, Arbeit und Soziales",Projektförderung,2017,"Tempelhofer Damm 125, 12099 Berlin",Arbeit,Helfer im gewerblich-technischen Bereich,39433
agens Arbeitsmarktservice gGmbH,"Senatsverwaltung für Integration, Arbeit und Soziales",Projektförderung,2017,"Tempelhofer Damm 125, 12099 Berlin",Arbeit,Interkulturelles Kompetenzzentrum,1720
agens Arbeitsmarktservice gGmbH,"Senatsverwaltung für Integration, Arbeit und Soziales",Projektförderung,2017,"Tempelhofer Damm 125, 12099 Berlin",Arbeit,Interkulturelles Kompetenzzentrum Neukölln,81684
agens Arbeitsmarktservice gGmbH,"Senatsverwaltung für Integration, Arbeit und Soziales",Projektförderung,2017,"Tempelhofer Damm 125, 12099 Berlin",Arbeit,Lese-Lust,66918
agens Arbeitsmarktservice gGmbH,"Senatsverwaltung für Integration, Arbeit und Soziales",Projektförderung,2017,"Tempelhofer Damm 125, 12099 Berlin",Arbeit,Mobilität schafft Inklusion,63984
agens Arbeitsmarktservice gGmbH,"Senatsverwaltung für Integration, Arbeit und Soziales",Projektförderung,2017,"Tempelhofer Damm 125, 12099 Berlin",Arbeit,Pflegebasiskurs mit beruflichem Praktikum und Prüfung zum/zur Pflegehelfer/in,10642
agens Arbeitsmarktservice gGmbH,"Senatsverwaltung für Integration, Arbeit und Soziales",Projektförderung,2017,"Tempelhofer Damm 125, 12099 Berlin",Arbeit,saubere Friedhöfe in Reinickendorf,55226
agens Arbeitsmarktservice gGmbH,"Senatsverwaltung für Integration, Arbeit und Soziales",Projektförderung,2017,"Tempelhofer Damm 125, 12099 Berlin",Arbeit,Saubere Reinickendorfer Friedhöfe,108
agens Arbeitsmarktservice gGmbH,"Senatsverwaltung für Integration, Arbeit und Soziales",Projektförderung,2017,"Tempelhofer Damm 125, 12099 Berlin",Arbeit,sauberes Reinickendorf,32090
agens Arbeitsmarktservice gGmbH,"Senatsverwaltung für Integration, Arbeit und Soziales",Projektförderung,2017,"Tempelhofer Damm 125, 12099 Berlin",Arbeit,Sauberes Reinickendorf Ost,583
agens Arbeitsmarktservice gGmbH,"Senatsverwaltung für Integration, Arbeit und Soziales",Projektförderung,2017,"Tempelhofer Damm 125, 12099 Berlin",Arbeit,sauberes Tempelhof-Schöneberg,175555
agens Arbeitsmarktservice gGmbH,"Senatsverwaltung für Integration, Arbeit und Soziales",Projektförderung,2017,"Tempelhofer Damm 125, 12099 Berlin",Arbeit,soziale Bücherbörse,58237
agens Arbeitsmarktservice gGmbH,"Senatsverwaltung für Integration, Arbeit und Soziales",Projektförderung,2017,"Tempelhofer Damm 125, 12099 Berlin",Arbeit,soziales Schreibbüro,153505
agens Arbeitsmarktservice gGmbH,"Senatsverwaltung für Integration, Arbeit und Soziales",Projektförderung,2017,"Tempelhofer Damm 125, 12099 Berlin",Arbeit,Wegweiser für Menschen mit Behinderung (TSch),10688
agens Arbeitsmarktservice gGmbH,"Senatsverwaltung für Integration, Arbeit und Soziales",Projektförderung,2017,"Tempelhofer Damm 125, 12099 Berlin",Arbeit,Wegweiser für Menschen mit Behinderungen Friedrichshain-Kreuzberg-barrierefrei,56939
agens Arbeitsmarktservice gGmbH,"Senatsverwaltung für Integration, Arbeit und Soziales",Projektförderung,2017,"Tempelhofer Damm 125, 12099 Berlin",Arbeit,Zielgruppen orientierte Lernangebote in den Jugendverkehrsschulen,34313
agens Arbeitsmarktservice gGmbH,"Senatsverwaltung für Integration, Arbeit und Soziales",Projektförderung,2018,"Tempelhofer Damm 125, 12099 Berlin",Arbeit,agens BJC-ögB 2018,620739
agens Arbeitsmarktservice gGmbH,"Senatsverwaltung für Integration, Arbeit und Soziales",Projektförderung,2018,"Tempelhofer Damm 125, 12099 Berlin",Arbeit,agens Jobcoaching ögB 2017,589428
agens Arbeitsmarktservice gGmbH,"Senatsverwaltung für Integration, Arbeit und Soziales",Projektförderung,2018,"Tempelhofer Damm 125, 12099 Berlin",Arbeit,Ambrosiajäger,62147
agens Arbeitsmarktservice gGmbH,"Senatsverwaltung für Integration, Arbeit und Soziales",Projektförderung,2018,"Tempelhofer Damm 125, 12099 Berlin",Arbeit,Antragshilfe in Tempelhof-Schöneberg,121352
agens Arbeitsmarktservice gGmbH,"Senatsverwaltung für Integration, Arbeit und Soziales",Projektförderung,2018,"Tempelhofer Damm 125, 12099 Berlin",Arbeit,Barrierefreie Beherbergungsbetriebe,19375
agens Arbeitsmarktservice gGmbH,"Senatsverwaltung für Integration, Arbeit und Soziales",Projektförderung,2018,"Tempelhofer Damm 125, 12099 Berlin",Arbeit,Berliner Jobcoaching für geflüchtete Menschen in Beschäftigungsmaßnahmen,302711
agens Arbeitsmarktservice gGmbH,"Senatsverwaltung für Integration, Arbeit und Soziales",Projektförderung,2018,"Tempelhofer Damm 125, 12099 Berlin",Arbeit,Beschäftigungstrainer agens 2018,282262
agens Arbeitsmarktservice gGmbH,"Senatsverwaltung für Integration, Arbeit und Soziales",Projektförderung,2018,"Tempelhofer Damm 125, 12099 Berlin",Arbeit,"Datenerhebungen zum Thema Gesundheit, Kultur und Sport",80688
agens Arbeitsmarktservice gGmbH,"Senatsverwaltung für Integration, Arbeit und Soziales",Projektförderung,2018,"Tempelhofer Damm 125, 12099 Berlin",Arbeit,Digitalisierung historischer IHK Akten,51381
agens Arbeitsmarktservice gGmbH,"Senatsverwaltung für Integration, Arbeit und Soziales",Projektförderung,2018,"Tempelhofer Damm 125, 12099 Berlin",Arbeit,Digitalisierung von Fotonachlassen,48216
agens Arbeitsmarktservice gGmbH,"Senatsverwaltung für Integration, Arbeit und Soziales",Projektförderung,2018,"Tempelhofer Damm 125, 12099 Berlin",Arbeit,Freizeit- und Veranstaltungsunterstützer Reinickendorf,43835
agens Arbeitsmarktservice gGmbH,"Senatsverwaltung für Integration, Arbeit und Soziales",Projektförderung,2018,"Tempelhofer Damm 125, 12099 Berlin",Arbeit,Freizeitangebote und Seniorenbesuchsdienst,39218
agens Arbeitsmarktservice gGmbH,"Senatsverwaltung für Integration, Arbeit und Soziales",Projektförderung,2018,"Tempelhofer Damm 125, 12099 Berlin",Arbeit,Gepflegte Friedhöfe in Mitte,104216
agens Arbeitsmarktservice gGmbH,"Senatsverwaltung für Integration, Arbeit und Soziales",Projektförderung,2018,"Tempelhofer Damm 125, 12099 Berlin",Arbeit,Gepflegte Friedhofsanlagen,204823
agens Arbeitsmarktservice gGmbH,"Senatsverwaltung für Integration, Arbeit und Soziales",Projektförderung,2018,"Tempelhofer Damm 125, 12099 Berlin",Arbeit,Gepflegte Friedhofsanlagen in Reinickendorf,105684
agens Arbeitsmarktservice gGmbH,"Senatsverwaltung für Integration, Arbeit und Soziales",Projektförderung,2018,"Tempelhofer Damm 125, 12099 Berlin",Arbeit,Gepflegte Grünflächen in Reinickendorf,48696
agens Arbeitsmarktservice gGmbH,"Senatsverwaltung für Integration, Arbeit und Soziales",Projektförderung,2018,"Tempelhofer Damm 125, 12099 Berlin",Arbeit,Geprüfte Betreuungsfachkraft gemäß Richtlinien nach § 53c (§ 87b a.F.) SGB XI,27091
agens Arbeitsmarktservice gGmbH,"Senatsverwaltung für Integration, Arbeit und Soziales",Projektförderung,2018,"Tempelhofer Damm 125, 12099 Berlin",Arbeit,Grüne Hauptwege in Friedrichshain-Kreuzberg barrierefrei,33654
agens Arbeitsmarktservice gGmbH,"Senatsverwaltung für Integration, Arbeit und Soziales",Projektförderung,2018,"Tempelhofer Damm 125, 12099 Berlin",Arbeit,Grüne Hauptwege in Mitte - barrierefrei,21737
agens Arbeitsmarktservice gGmbH,"Senatsverwaltung für Integration, Arbeit und Soziales",Projektförderung,2018,"Tempelhofer Damm 125, 12099 Berlin",Arbeit,Helfer im gewerblich-technischen Bereich,83341
agens Arbeitsmarktservice gGmbH,"Senatsverwaltung für Integration, Arbeit und Soziales",Projektförderung,2018,"Tempelhofer Damm 125, 12099 Berlin",Arbeit,Interkulturelle Sprachmittlung und Begleitdienst,50397
agens Arbeitsmarktservice gGmbH,"Senatsverwaltung für Integration, Arbeit und Soziales",Projektförderung,2018,"Tempelhofer Damm 125, 12099 Berlin",Arbeit,Interkulturelles Kompetenzzentrum,64557
agens Arbeitsmarktservice gGmbH,"Senatsverwaltung für Integration, Arbeit und Soziales",Projektförderung,2018,"Tempelhofer Damm 125, 12099 Berlin",Arbeit,Interkulturelles Kompetenzzentrum Neukölln,181061
agens Arbeitsmarktservice gGmbH,"Senatsverwaltung für Integration, Arbeit und Soziales",Projektförderung,2018,"Tempelhofer Damm 125, 12099 Berlin",Arbeit,Jobcoaching,599825
agens Arbeitsmarktservice gGmbH,"Senatsverwaltung für Integration, Arbeit und Soziales",Projektförderung,2018,"Tempelhofer Damm 125, 12099 Berlin",Arbeit,Lese-Lust,142556
agens Arbeitsmarktservice gGmbH,"Senatsverwaltung für Integration, Arbeit und Soziales",Projektförderung,2018,"Tempelhofer Damm 125, 12099 Berlin",Arbeit,Mobilität schafft Inklusion,72191
agens Arbeitsmarktservice gGmbH,"Senatsverwaltung für Integration, Arbeit und Soziales",Projektförderung,2018,"Tempelhofer Damm 125, 12099 Berlin",Arbeit,Naturschutz und saubere Gewässer,83997
agens Arbeitsmarktservice gGmbH,"Senatsverwaltung für Integration, Arbeit und Soziales",Projektförderung,2018,"Tempelhofer Damm 125, 12099 Berlin",Arbeit,saubere Friedhöfe in Reinickendorf,95815
agens Arbeitsmarktservice gGmbH,"Senatsverwaltung für Integration, Arbeit und Soziales",Projektförderung,2018,"Tempelhofer Damm 125, 12099 Berlin",Arbeit,Saubere Friedhöfe und Spielplätze,42561
agens Arbeitsmarktservice gGmbH,"Senatsverwaltung für Integration, Arbeit und Soziales",Projektförderung,2018,"Tempelhofer Damm 125, 12099 Berlin",Arbeit,Saubere Grünanlagen,116589
agens Arbeitsmarktservice gGmbH,"Senatsverwaltung für Integration, Arbeit und Soziales",Projektförderung,2018,"Tempelhofer Damm 125, 12099 Berlin",Arbeit,Saubere Reinickendorfer Friedhöfe,12953
agens Arbeitsmarktservice gGmbH,"Senatsverwaltung für Integration, Arbeit und Soziales",Projektförderung,2018,"Tempelhofer Damm 125, 12099 Berlin",Arbeit,sauberes Reinickendorf,74285
agens Arbeitsmarktservice gGmbH,"Senatsverwaltung für Integration, Arbeit und Soziales",Projektförderung,2018,"Tempelhofer Damm 125, 12099 Berlin",Arbeit,sauberes Tempelhof-Schöneberg,272279
agens Arbeitsmarktservice gGmbH,"Senatsverwaltung für Integration, Arbeit und Soziales",Projektförderung,2018,"Tempelhofer Damm 125, 12099 Berlin",Arbeit,soziale Bücherbörse,82863
agens Arbeitsmarktservice gGmbH,"Senatsverwaltung für Integration, Arbeit und Soziales",Projektförderung,2018,"Tempelhofer Damm 125, 12099 Berlin",Arbeit,soziales Schreibbüro,322351
agens Arbeitsmarktservice gGmbH,"Senatsverwaltung für Integration, Arbeit und Soziales",Projektförderung,2018,"Tempelhofer Damm 125, 12099 Berlin",Arbeit,Unterstützung von zusätzlichen Lernangeboten in den Jugendverkehrsschulen,42157
agens Arbeitsmarktservice gGmbH,"Senatsverwaltung für Integration, Arbeit und Soziales",Projektförderung,2018,"Tempelhofer Damm 125, 12099 Berlin",Arbeit,Vorlesedienst in Mitte,101867
agens Arbeitsmarktservice gGmbH,"Senatsverwaltung für Integration, Arbeit und Soziales",Projektförderung,2018,"Tempelhofer Damm 125, 12099 Berlin",Arbeit,Vorleseservice für Senioren in Reinickendorf,23350
agens Arbeitsmarktservice gGmbH,"Senatsverwaltung für Integration, Arbeit und Soziales",Projektförderung,2018,"Tempelhofer Damm 125, 12099 Berlin",Arbeit,Wegweiser für Menschen mit Behinderungen Friedrichshain-Kreuzberg-barrierefrei,105559
agens Arbeitsmarktservice gGmbH,"Senatsverwaltung für Integration, Arbeit und Soziales",Projektförderung,2018,"Tempelhofer Damm 125, 12099 Berlin",Arbeit,Zielgruppen orientierte Lernangebote in den Jugendverkehrsschulen,79906
agens Arbeitsmarktservice gGmbH,"Senatsverwaltung für Integration, Arbeit und Soziales",Projektförderung,2019,"Tempelhofer Damm 125, 12099 Berlin",Arbeit,agens BJC 2019,634976
agens Arbeitsmarktservice gGmbH,"Senatsverwaltung für Integration, Arbeit und Soziales",Projektförderung,2019,"Tempelhofer Damm 125, 12099 Berlin",Arbeit,agens BJC-ögB 2018,620739
agens Arbeitsmarktservice gGmbH,"Senatsverwaltung für Integration, Arbeit und Soziales",Projektförderung,2019,"Tempelhofer Damm 125, 12099 Berlin",Arbeit,Berliner Jobcoaching für geflüchtete Menschen in Beschäftigungsmaßnahmen,437491
agens Arbeitsmarktservice gGmbH,"Senatsverwaltung für Integration, Arbeit und Soziales",Projektförderung,2019,"Tempelhofer Damm 125, 12099 Berlin",Arbeit,Beschäftigungstrainer agens 2018,282262
agens Arbeitsmarktservice gGmbH,"Senatsverwaltung für Integration, Arbeit und Soziales",Projektförderung,2019,"Tempelhofer Damm 125, 12099 Berlin",Arbeit,Beschäftigungstrainer agens 2019,342221
agens Arbeitsmarktservice gGmbH,"Senatsverwaltung für Integration, Arbeit und Soziales",Projektförderung,2019,"Tempelhofer Damm 125, 12099 Berlin",Arbeit,Beschäftigungstrainer II agens 2019,30527
agens Arbeitsmarktservice gGmbH,"Senatsverwaltung für Integration, Arbeit und Soziales",Projektförderung,2019,"Tempelhofer Damm 125, 12099 Berlin",Arbeit,Antragshilfe in Tempelhof-Schöneberg,121352
agens Arbeitsmarktservice gGmbH,"Senatsverwaltung für Integration, Arbeit und Soziales",Projektförderung,2019,"Tempelhofer Damm 125, 12099 Berlin",Arbeit,Ausstellungs- und Veranstaltungshelfer,78250
agens Arbeitsmarktservice gGmbH,"Senatsverwaltung für Integration, Arbeit und Soziales",Projektförderung,2019,"Tempelhofer Damm 125, 12099 Berlin",Arbeit,Barrierefreie Beherbergungsbetriebe,22807
agens Arbeitsmarktservice gGmbH,"Senatsverwaltung für Integration, Arbeit und Soziales",Projektförderung,2019,"Tempelhofer Damm 125, 12099 Berlin",Arbeit,Begleitservice und Freizeitangebote für Senioren in Charlottenburg-Wilmersdorf,38617
agens Arbeitsmarktservice gGmbH,"Senatsverwaltung für Integration, Arbeit und Soziales",Projektförderung,2019,"Tempelhofer Damm 125, 12099 Berlin",Arbeit,Begleitservice und Freizeitangebote für Senioren in Spandau,22296
agens Arbeitsmarktservice gGmbH,"Senatsverwaltung für Integration, Arbeit und Soziales",Projektförderung,2019,"Tempelhofer Damm 125, 12099 Berlin",Arbeit,Datenerhebungen - Barrierefreiheit in Pankow,29320
agens Arbeitsmarktservice gGmbH,"Senatsverwaltung für Integration, Arbeit und Soziales",Projektförderung,2019,"Tempelhofer Damm 125, 12099 Berlin",Arbeit,"Datenerhebungen zum Thema Gesundheit, Kultur und Sport",80688
agens Arbeitsmarktservice gGmbH,"Senatsverwaltung für Integration, Arbeit und Soziales",Projektförderung,2019,"Tempelhofer Damm 125, 12099 Berlin",Arbeit,Digitalisierung historischer IHK Akten,43659
agens Arbeitsmarktservice gGmbH,"Senatsverwaltung für Integration, Arbeit und Soziales",Projektförderung,2019,"Tempelhofer Damm 125, 12099 Berlin",Arbeit,Digitalisierung von Fotonachlassen,48216
agens Arbeitsmarktservice gGmbH,"Senatsverwaltung für Integration, Arbeit und Soziales",Projektförderung,2019,"Tempelhofer Damm 125, 12099 Berlin",Arbeit,EGZ Projektassistenz,34566
agens Arbeitsmarktservice gGmbH,"Senatsverwaltung für Integration, Arbeit und Soziales",Projektförderung,2019,"Tempelhofer Damm 125, 12099 Berlin",Arbeit,Erfassung und Aufbereitung historischer Dokumente - Landesarchiv Berlin,103025
agens Arbeitsmarktservice gGmbH,"Senatsverwaltung für Integration, Arbeit und Soziales",Projektförderung,2019,"Tempelhofer Damm 125, 12099 Berlin",Arbeit,Erfassung und Aufbereitung historischer Dokumente - Landesarchiv Berlin 2,85044
agens Arbeitsmarktservice gGmbH,"Senatsverwaltung für Integration, Arbeit und Soziales",Projektförderung,2019,"Tempelhofer Damm 125, 12099 Berlin",Arbeit,Erfassung und Aufbereitung historischer Dokumente - Landesarchiv Berlin 3,62696
agens Arbeitsmarktservice gGmbH,"Senatsverwaltung für Integration, Arbeit und Soziales",Projektförderung,2019,"Tempelhofer Damm 125, 12099 Berlin",Arbeit,Erfassung und Aufbereitung historischer Dokumente - Landesarchiv Berlin 4,61393
agens Arbeitsmarktservice gGmbH,"Senatsverwaltung für Integration, Arbeit und Soziales",Projektförderung,2019,"Tempelhofer Damm 125, 12099 Berlin",Arbeit,Erfassung und Aufbereitung historischer Dokumente - Zitadelle Spandau,55314
agens Arbeitsmarktservice gGmbH,"Senatsverwaltung für Integration, Arbeit und Soziales",Projektförderung,2019,"Tempelhofer Damm 125, 12099 Berlin",Arbeit,Erfassung und Aufbereitung historischer Dokumente in Charlottenburg-Wilmersdorf,55399
agens Arbeitsmarktservice gGmbH,"Senatsverwaltung für Integration, Arbeit und Soziales",Projektförderung,2019,"Tempelhofer Damm 125, 12099 Berlin",Arbeit,Freizeitangebote und Seniorenbesuchsdienst,39218
agens Arbeitsmarktservice gGmbH,"Senatsverwaltung für Integration, Arbeit und Soziales",Projektförderung,2019,"Tempelhofer Damm 125, 12099 Berlin",Arbeit,Gepflegte Friedhöfe in Mitte,98825
agens Arbeitsmarktservice gGmbH,"Senatsverwaltung für Integration, Arbeit und Soziales",Projektförderung,2019,"Tempelhofer Damm 125, 12099 Berlin",Arbeit,Gepflegte Friedhofsanlagen in Reinickendorf,105684
agens Arbeitsmarktservice gGmbH,"Senatsverwaltung für Integration, Arbeit und Soziales",Projektförderung,2019,"Tempelhofer Damm 125, 12099 Berlin",Arbeit,Gepflegte Grünanlagen im Freizeitpark,126008
agens Arbeitsmarktservice gGmbH,"Senatsverwaltung für Integration, Arbeit und Soziales",Projektförderung,2019,"Tempelhofer Damm 125, 12099 Berlin",Arbeit,Gepflegte Grünanlagen in Mitte,108447
agens Arbeitsmarktservice gGmbH,"Senatsverwaltung für Integration, Arbeit und Soziales",Projektförderung,2019,"Tempelhofer Damm 125, 12099 Berlin",Arbeit,Gepflegte Grünanlagen in Reinickendorf,165668
agens Arbeitsmarktservice gGmbH,"Senatsverwaltung für Integration, Arbeit und Soziales",Projektförderung,2019,"Tempelhofer Damm 125, 12099 Berlin",Arbeit,"Gepflegte Grünanlagen, Friedhöfe und Spielplätze",71851
agens Arbeitsmarktservice gGmbH,"Senatsverwaltung für Integration, Arbeit und Soziales",Projektförderung,2019,"Tempelhofer Damm 125, 12099 Berlin",Arbeit,Gepflegte Grünflächen in Reinickendorf,48696
agens Arbeitsmarktservice gGmbH,"Senatsverwaltung für Integration, Arbeit und Soziales",Projektförderung,2019,"Tempelhofer Damm 125, 12099 Berlin",Arbeit,Interkulturelle Sprachmittlung und Begleitdienst,43488
agens Arbeitsmarktservice gGmbH,"Senatsverwaltung für Integration, Arbeit und Soziales",Projektförderung,2019,"Tempelhofer Damm 125, 12099 Berlin",Arbeit,Jugendverkehrsschulen,92219
agens Arbeitsmarktservice gGmbH,"Senatsverwaltung für Integration, Arbeit und Soziales",Projektförderung,2019,"Tempelhofer Damm 125, 12099 Berlin",Arbeit,Mobiles soziales Schreibbüro in Charlottenburg-Wilmersdorf,6329
agens Arbeitsmarktservice gGmbH,"Senatsverwaltung für Integration, Arbeit und Soziales",Projektförderung,2019,"Tempelhofer Damm 125, 12099 Berlin",Arbeit,Naturschutz an Gewässern und im Straßenbegleitgrün,149222
agens Arbeitsmarktservice gGmbH,"Senatsverwaltung für Integration, Arbeit und Soziales",Projektförderung,2019,"Tempelhofer Damm 125, 12099 Berlin",Arbeit,Naturschutz und saubere Gewässer,83997
agens Arbeitsmarktservice gGmbH,"Senatsverwaltung für Integration, Arbeit und Soziales",Projektförderung,2019,"Tempelhofer Damm 125, 12099 Berlin",Arbeit,saubere Friedhöfe in Reinickendorf,95815
agens Arbeitsmarktservice gGmbH,"Senatsverwaltung für Integration, Arbeit und Soziales",Projektförderung,2019,"Tempelhofer Damm 125, 12099 Berlin",Arbeit,Saubere Friedhöfe und Spielplätze,42561
agens Arbeitsmarktservice gGmbH,"Senatsverwaltung für Integration, Arbeit und Soziales",Projektförderung,2019,"Tempelhofer Damm 125, 12099 Berlin",Arbeit,Saubere Grünanlagen,123549
agens Arbeitsmarktservice gGmbH,"Senatsverwaltung für Integration, Arbeit und Soziales",Projektförderung,2019,"Tempelhofer Damm 125, 12099 Berlin",Arbeit,sauberes Reinickendorf,74285
agens Arbeitsmarktservice gGmbH,"Senatsverwaltung für Integration, Arbeit und Soziales",Projektförderung,2019,"Tempelhofer Damm 125, 12099 Berlin",Arbeit,soziales Schreibbüro,322351
agens Arbeitsmarktservice gGmbH,"Senatsverwaltung für Integration, Arbeit und Soziales",Projektförderung,2019,"Tempelhofer Damm 125, 12099 Berlin",Arbeit,Soziales Schreibbüro in Mitte,74731
agens Arbeitsmarktservice gGmbH,"Senatsverwaltung für Integration, Arbeit und Soziales",Projektförderung,2019,"Tempelhofer Damm 125, 12099 Berlin",Arbeit,Soziales Schreibbüro in Tempelhof-Schöneberg,101529
agens Arbeitsmarktservice gGmbH,"Senatsverwaltung für Integration, Arbeit und Soziales",Projektförderung,2019,"Tempelhofer Damm 125, 12099 Berlin",Arbeit,Sozialwerkstatt und Mobiles Handwerk Spandau,91041
agens Arbeitsmarktservice gGmbH,"Senatsverwaltung für Integration, Arbeit und Soziales",Projektförderung,2019,"Tempelhofer Damm 125, 12099 Berlin",Arbeit,Unterstützung von zusätzlichen Lernangeboten in den Jugendverkehrsschulen,35941
agens Arbeitsmarktservice gGmbH,"Senatsverwaltung für Integration, Arbeit und Soziales",Projektförderung,2019,"Tempelhofer Damm 125, 12099 Berlin",Arbeit,Vorlesedienst in Mitte,101867
agens Arbeitsmarktservice gGmbH,"Senatsverwaltung für Integration, Arbeit und Soziales",Projektförderung,2019,"Tempelhofer Damm 125, 12099 Berlin",Arbeit,Vorlesedienste in Mitte,86294
agens Arbeitsmarktservice gGmbH,"Senatsverwaltung für Integration, Arbeit und Soziales",Projektförderung,2019,"Tempelhofer Damm 125, 12099 Berlin",Arbeit,Vorleseservice für Senioren in Reinickendorf,23350
agens Arbeitsmarktservice gGmbH,"Senatsverwaltung für Integration, Arbeit und Soziales",Projektförderung,2019,"Tempelhofer Damm 125, 12099 Berlin",Arbeit,Waldpflege - Naherholungsgebiete in Pankow,21027
agens Arbeitsmarktservice gGmbH,"Senatsverwaltung für Integration, Arbeit und Soziales",Projektförderung,2019,"Tempelhofer Damm 125, 12099 Berlin",Arbeit,Wegweiser für Menschen mit Behinderungen Friedrichshain-Kreuzberg-barrierefrei,105559
agens Arbeitsmarktservice gGmbH,"Senatsverwaltung für Integration, Arbeit und Soziales",Projektförderung,2019,"Tempelhofer Damm 125, 12099 Berlin",Arbeit,Zielgruppen orientierte Lernangebote in den Jugendverkehrsschulen,79906
agens Arbeitsmarktservice gGmbH,"Senatsverwaltung für Integration, Arbeit und Soziales",Projektförderung,2020,"Tempelhofer Damm 125, 12099 Berlin",Arbeit,agens BJC 2019,634976
agens Arbeitsmarktservice gGmbH,"Senatsverwaltung für Integration, Arbeit und Soziales",Projektförderung,2020,"Tempelhofer Damm 125, 12099 Berlin",Arbeit,agens BJC 2020,612795
agens Arbeitsmarktservice gGmbH,"Senatsverwaltung für Integration, Arbeit und Soziales",Projektförderung,2020,"Tempelhofer Damm 125, 12099 Berlin",Arbeit,Antragshilfe in Tempelhof-Schöneberg,130691
agens Arbeitsmarktservice gGmbH,"Senatsverwaltung für Integration, Arbeit und Soziales",Projektförderung,2020,"Tempelhofer Damm 125, 12099 Berlin",Arbeit,Berliner Jobcoaching für geflüchtete Menschen in Beschäftigungsmaßnahmen,134780
agens Arbeitsmarktservice gGmbH,"Senatsverwaltung für Integration, Arbeit und Soziales",Projektförderung,2020,"Tempelhofer Damm 125, 12099 Berlin",Arbeit,Beschäftigungstrainer agens 2019,342221
agens Arbeitsmarktservice gGmbH,"Senatsverwaltung für Integration, Arbeit und Soziales",Projektförderung,2020,"Tempelhofer Damm 125, 12099 Berlin",Arbeit,Beschäftigungstrainer agens 2020,514302
